,26695 (6h),
,FDR,fold
HP0001,0.727719913,0.94537838
HP0002,0.103603047,0.753758734
HP0003,0.303053335,0.853082244
HP0004,6.23905E-10,2.42671733
HP0005,0.73615388,0.943601177
HP0006,1,1.000001557
HP0007,1.5333E-50,20.94857013
HP0008,0.781014211,0.903256138
HP0009,2.9534E-15,0.209001088
HP0010,1.1506E-05,0.29311523
HP0011,0.000704679,0.272495506
HP0012,5.90657E-07,2.430416185
HP0013,0.158926663,0.820392288
HP0014,0.025270131,0.674325221
HP0015,1.72288E-49,0.076450846
HP0016,2.96974E-69,0.054148324
HP0017,0.000152524,0.513563851
HP0018,5.2715E-05,1.863013613
HP0019,0.109055598,0.778561905
HP0020,0.145314035,1.242026786
HP0021,1.34051E-05,1.839409659
HP0022,4.68767E-06,2.289757878
HP0023,1.20843E-19,3.388586405
HP0024,6.1248E-11,2.401398703
HP0025,2.63169E-90,0.012464919
HP0026,0.013664326,0.637608239
HP0027,0.030387985,0.675306893
HP0028,0.355906176,0.831058488
HP0029,0.438268316,0.865927475
HP0030,0.127908873,1.260479202
HP0031,0.062512358,0.713010099
HP0032,0.32340531,0.827520212
HP0033,0.114129335,1.258467016
HP0034,0.032375114,1.474884439
HP0035,0.297833347,1.203953085
HP0036,0.026178504,1.400970229
HP0037,0.303341667,1.325847
HP0038,1.23041E-08,0.339946861
HP0039,0.122339814,0.462509589
HP0040,0.980454416,0.982832064
HP0041,0.77182131,0.861978212
HP0042,0.128430004,0.573779588
HP0043,0.04486661,1.36108228
HP0044,0.008643665,0.676437874
HP0045,0.514329467,0.879872846
HP0046,0.000148241,1.945355318
HP0047,0.961478328,1.013692708
HP0048,0.163372792,1.446169819
HP0049,0.083779456,1.275960386
HP0050,0.409111413,1.890366338
HP0051,0.000337939,2.601210092
HP0052,0.019707668,2.271220487
HP0053,0.618472459,0.901326684
HP0054,0.276250538,0.83415741
HP0055,4.38671E-12,0.383814733
HP0056,1.74119E-11,0.371986282
HP0057,0.876334168,1.073322836
HP0058,0.000281557,1.831665978
HP0059,0.668880572,1.120054836
HP0060,0.016016127,1.504820812
HP0061,0.268336508,0.8231046
HP0062,0.438268316,0.864901125
HP0063,0.446168062,0.889770764
HP0064,0.494181512,0.892148015
HP0065,0.72401841,0.944020345
HP0066,0.437515356,1.137013351
HP0067,0.416386253,1.175962651
HP0068,0.638101274,0.87829418
HP0069,6.0326E-05,2.013268079
HP0070,0.778490449,1.087517444
HP0071,0.393664927,0.682040309
HP0072,0.980454416,0.987589959
HP0073,0.962716549,0.969321525
HP0074,4.81123E-06,1.900416439
HP0075,0.170272613,1.232013058
HP0076,0.093866169,1.374303555
HP0077,0.07635415,1.346101027
HP0078,3.71736E-32,8.278587436
HP0079,4.01216E-43,9.847784369
HP0080,0.277920934,1.187290865
HP0081,0.17478503,0.797474171
HP0082,0.044290827,0.75843106
HP0083,0.585029696,0.871184861
HP0084,0.955795865,0.985179244
HP0085,0.001717646,1.910968713
HP0086,0.335436069,1.202034133
HP0087,1.44938E-05,1.903748997
HP0088,0.248701167,1.241551617
HP0089,3.42327E-18,0.258882594
