gene,ctrl differences,FDR,fold
HP0002,1,0.104,0.753758734
HP0005,3,0.736,0.943601177
HP0009,2,2.95e-15,0.209001088
HP0010,3,1.15e-05,0.29311523
HP0012,1,5.91e-07,2.430416185
HP0014,1,0.0253,0.674325221
HP0020,1,0.145,1.242026786
HP0022,2,4.69e-06,2.289757878
HP0026,2,0.0137,0.63760824
HP0033,3,0.114,1.258467016
HP0037,1,0.303,1.325847
HP0038,1,1.23e-08,0.339946861
HP0040,2,0.98,0.982832064
HP0045,1,0.514,0.879872846
HP0047,2,0.961,1.013692708
HP0048,2,0.163,1.446169819
HP0050,1,0.409,1.890366338
HP0051,1,0.000338,2.601210092
HP0052,1,0.0197,2.271220487
HP0054,2,0.276,0.83415741
HP0056,3,1.74e-11,0.371986282
HP0058,1,0.000282,1.831665978
HP0062,1,0.438,0.864901125
HP0063,2,0.446,0.889770764
HP0065,2,0.724,0.944020345
HP0066,3,0.438,1.137013351
HP0068,1,0.638,0.87829418
HP0074,1,4.81e-06,1.900416439
HP0075,2,0.17,1.232013058
HP0077,1,0.0764,1.346101027
HP0080,1,0.278,1.187290865
HP0082,3,0.0443,0.75843106
HP0086,1,0.335,1.202034133
HP0087,1,1.45e-05,1.903748997
HP0088,3,0.249,1.241551617
HP0089,1,3.42e-18,0.258882594
HP0090,1,0.00844,0.640165195
HP0094,2,4.24e-20,4.157378216
HP0095,1,1.0,1.000368962
HP0096,1,0.000113,0.595091769
HP0097,1,1.02e-34,0.108970001
HP0099,4,0.489,0.880145827
HP0101,1,8.72e-07,3.383335176
HP0104,3,0.135,0.793780442
HP0105,1,0.364,1.19412641
HP0106,1,7.55e-10,2.695742914
HP0108,1,0.000739,0.593652733
HP0109,2,0.00142,0.567322437
HP0112,1,0.0215,1.397297156
HP0113,1,0.0155,0.673328422
HP0114,1,0.195,0.450563849
HP0115,4,0.0146,0.385993963
HP0117,2,9.82e-09,2.506011289
HP0119,2,8.82e-08,2.301460662
HP0130,1,0.128,0.735993174
HP0133,2,0.000477,0.61362613
HP0134,1,0.736,1.056660449
HP0136,1,0.966,0.989095119
HP0140,1,1.62e-52,0.090763983
HP0141,1,0.691,0.937166912
HP0142,1,0.00218,1.683195282
HP0143,2,0.369,0.857052554
HP0145,1,6.05e-05,0.496307171
HP0147,2,0.024,0.66649223
HP0152,4,0.725,1.060724291
HP0153,1,1.38e-06,0.462545561
HP0154,1,9.17e-05,0.536746508
HP0157,1,0.00239,1.556796558
HP0160,1,0.000194,0.531397862
HP0162,1,0.0488,0.710325453
HP0163,2,0.923,1.018763377
HP0168,1,8.82e-06,1.944780658
HP0169,2,0.214,1.212263121
HP0171,2,0.4,1.136671503
HP0174,1,2.23e-05,2.040723619
HP0175,1,0.0831,0.679765362
HP0176,3,0.0586,0.663945486
HP0177,2,0.438,0.753896842
HP0178,1,0.103,0.792293134
HP0181,2,0.00749,1.583094027
HP0183,2,0.818,0.95250689
HP0186,3,0.329,1.170741578
HP0187,1,0.632,0.895596469
HP0190,1,0.26,0.846258442
HP0191,2,0.0763,0.723381139
HP0192,2,0.0439,0.694670747
HP0193,1,0.0916,0.740673416
HP0196,1,0.242,0.824283175
HP0202,1,0.0446,1.4407251
HP0203,1,0.741,1.072926144
HP0205,3,0.154,2.707803208
HP0208,2,0.000329,2.025521492
HP0209,1,0.0475,2.007696394
HP0212,2,0.000364,0.617670872
HP0214,1,3.53e-10,0.417416628
HP0220,3,0.000996,1.809070973
HP0223,2,0.00852,1.56332682
HP0224,1,8.28e-08,0.395092699
HP0226,1,0.276,0.843359139
HP0227,1,0.00172,1.592169903
HP0229,1,3.41e-14,0.264759873
HP0233,1,0.724,1.076867031
HP0234,1,0.611,1.1105411
HP0236,1,0.0498,1.691362704
HP0237,1,2.07e-05,2.087486433
HP0238,6,9.83e-05,1.81589885
HP0239,1,2.39e-06,2.052437685
HP0240,1,9.84e-11,2.617173376
HP0241,1,1.71e-13,3.643985684
HP0242,1,0.00361,2.367379431
HP0244,1,6.2e-05,1.761083726
HP0247,1,5.24e-05,0.559785476
HP0248,1,5.33e-07,0.459891919
HP0250,1,0.067,1.330240041
HP0255,1,0.736,0.935382232
HP0259,2,0.88,0.954272786
HP0264,3,1.09e-07,0.477436685
HP0266,1,0.594,0.909540093
HP0267,2,0.00284,0.66893632
HP0269,1,0.159,0.777905848
HP0271,3,4.96e-06,1.967423696
HP0275,1,0.201,0.813211689
HP0278,1,8.61e-07,2.118022236
HP0281,2,0.176,1.32421258
HP0282,1,6.17e-05,1.952638707
HP0284,1,0.294,1.265090152
HP0286,2,8.77e-07,2.183041033
HP0287,3,1.01e-10,2.851287428
HP0288,2,0.802,1.053564162
HP0289,1,0.00263,1.780961064
HP0292,1,6.39e-08,2.320813954
HP0293,2,3.62e-05,3.054077645
HP0294,1,0.502,0.875220721
HP0295,3,0.908,0.930743102
HP0296,1,0.00315,2.141269784
HP0299,1,4.77e-36,0.163261155
HP0301,2,7.14e-31,0.19283823
HP0306,1,0.00192,1.734076634
HP0307,1,4.48e-15,3.25158393
