,FDR,fold
HP0001,7.28E-01,0.9453783799
HP0002,1.04E-01,0.7537587341
HP0003,3.03E-01,0.8530822438
HP0004,6.24E-10,2.42671733
HP0005,7.36E-01,0.9436011765
HP0006,1.00E+00,1.000001557
HP0007,1.53E-50,20.94857013
HP0008,7.81E-01,0.9032561375
HP0009,2.95E-15,0.2090010884
HP0010,1.15E-05,0.2931152303
HP0011,7.05E-04,0.2724955058
HP0012,5.91E-07,2.430416185
HP0013,1.59E-01,0.8203922881
HP0014,2.53E-02,0.6743252213
HP0015,1.72E-49,0.07645084609
HP0016,2.97E-69,0.0541483244
HP0017,1.53E-04,0.5135638511
HP0018,5.27E-05,1.863013613
HP0019,1.09E-01,0.7785619055
HP0020,1.45E-01,1.242026786
HP0021,1.34E-05,1.839409659
HP0022,4.69E-06,2.289757878
HP0023,1.21E-19,3.388586405
HP0024,6.12E-11,2.401398703
HP0025,2.63E-90,0.0124649192
HP0026,1.37E-02,0.6376082395
HP0027,3.04E-02,0.6753068933
HP0028,3.56E-01,0.8310584877
HP0029,4.38E-01,0.8659274746
HP0030,1.28E-01,1.260479202
HP0031,6.25E-02,0.7130100994
HP0032,3.23E-01,0.8275202116
HP0033,1.14E-01,1.258467016
HP0034,3.24E-02,1.474884439
HP0035,2.98E-01,1.203953085
HP0036,2.62E-02,1.400970229
HP0037,3.03E-01,1.325847
HP0038,1.23E-08,0.3399468605
HP0039,1.22E-01,0.4625095895
HP0040,9.80E-01,0.982832064
HP0041,7.72E-01,0.8619782123
HP0042,1.28E-01,0.573779588
HP0043,4.49E-02,1.36108228
HP0044,8.64E-03,0.6764378742
HP0045,5.14E-01,0.8798728456
HP0046,1.48E-04,1.945355318
HP0047,9.61E-01,1.013692708
HP0048,1.63E-01,1.446169819
HP0049,8.38E-02,1.275960386
HP0050,4.09E-01,1.890366338
HP0051,3.38E-04,2.601210092
HP0052,1.97E-02,2.271220487
HP0053,6.18E-01,0.9013266839
HP0054,2.76E-01,0.8341574101
HP0055,4.39E-12,0.3838147333
HP0056,1.74E-11,0.3719862824
HP0057,8.76E-01,1.073322836
