,gene,1' pH7,1' pH5,16' pH7,16' pH5,1' pH7 density,16' pH7 density,1' pH5 density,16' pH5 density
0,HP0001,16,16,16,16,0.0387409200968523,0.0387409200968523,0.0387409200968523,0.0387409200968523
1,HP0002,25,26,24,24,0.05353319057815846,0.05139186295503212,0.055674518201284794,0.05139186295503212
2,HP0003,31,31,31,31,0.037484885126964934,0.037484885126964934,0.037484885126964934,0.037484885126964934
3,HP0004,27,27,25,24,0.04078549848942598,0.0377643504531722,0.04078549848942598,0.03625377643504532
4,HP0005,22,23,24,23,0.03235294117647059,0.03529411764705882,0.033823529411764704,0.033823529411764704
5,HP0006,18,18,18,18,0.02176541717049577,0.02176541717049577,0.02176541717049577,0.02176541717049577
6,HP0007,2,2,2,2,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353
7,HP0008,4,4,4,4,0.05,0.05,0.05,0.05
8,HP0009,70,68,68,68,0.03682272488164124,0.03577064702788006,0.03577064702788006,0.03577064702788006
9,HP0010,88,85,84,85,0.05375687232742822,0.05131337813072694,0.05192425167990226,0.05192425167990226
10,HP0011,24,24,24,24,0.0679886685552408,0.0679886685552408,0.0679886685552408,0.0679886685552408
11,HP0012,67,66,67,66,0.03997613365155131,0.03997613365155131,0.03937947494033413,0.03937947494033413
12,HP0013,33,33,32,33,0.03145853193517636,0.030505243088655862,0.03145853193517636,0.03145853193517636
13,HP0014,27,28,28,27,0.032766990291262135,0.03398058252427184,0.03398058252427184,0.032766990291262135
14,HP0015,12,12,12,12,0.04316546762589928,0.04316546762589928,0.04316546762589928,0.04316546762589928
15,HP0016,7,7,6,7,0.026923076923076925,0.023076923076923078,0.026923076923076925,0.026923076923076925
16,HP0017,76,76,76,76,0.03220338983050847,0.03220338983050847,0.03220338983050847,0.03220338983050847
17,HP0018,55,55,55,55,0.03911806543385491,0.03911806543385491,0.03911806543385491,0.03911806543385491
18,HP0019,40,40,40,40,0.04158004158004158,0.04158004158004158,0.04158004158004158,0.04158004158004158
19,HP0020,41,40,39,40,0.03377265238879736,0.03212520593080725,0.032948929159802305,0.032948929159802305
20,HP0021,19,19,20,20,0.033391915641476276,0.0351493848857645,0.033391915641476276,0.0351493848857645
21,HP0022,67,67,64,64,0.04289372599231754,0.040973111395646605,0.04289372599231754,0.040973111395646605
22,HP0023,1,1,1,1,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414
23,HP0024,2,2,2,2,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.02247191011235955
24,HP0025,91,91,90,92,0.042682926829268296,0.04221388367729831,0.042682926829268296,0.043151969981238276
25,HP0026,60,58,56,59,0.04698512137823023,0.04385277995301488,0.04541895066562255,0.04620203602192639
26,HP0027,57,57,57,59,0.044740973312401885,0.044740973312401885,0.044740973312401885,0.04631083202511774
27,HP0028,20,20,20,20,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377
28,HP0029,22,22,22,22,0.033690658499234305,0.033690658499234305,0.033690658499234305,0.033690658499234305
29,HP0030,10,10,9,9,0.00562429696287964,0.005061867266591676,0.00562429696287964,0.005061867266591676
30,HP0031,19,19,19,19,0.046341463414634146,0.046341463414634146,0.046341463414634146,0.046341463414634146
31,HP0032,18,18,18,18,0.0661764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353
32,HP0033,91,88,87,89,0.04095409540954095,0.03915391539153915,0.039603960396039604,0.040054005400540056
33,HP0034,15,15,15,15,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286
34,HP0035,13,13,13,13,0.04482758620689655,0.04482758620689655,0.04482758620689655,0.04482758620689655
35,HP0036,22,22,22,22,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198
36,HP0037,31,30,30,29,0.029467680608365018,0.028517110266159697,0.028517110266159697,0.027566539923954372
37,HP0038,30,29,28,28,0.04087193460490463,0.03814713896457766,0.039509536784741145,0.03814713896457766
38,HP0039,7,7,8,7,0.026022304832713755,0.02973977695167286,0.026022304832713755,0.026022304832713755
