seqname,source,feature,HP_number,gene_type,start,end,Putative_Id,Orf_Size,Prot_Size(est),score,strand,frame
.,forsyth,gene,HP0001,TRANSCRIPTION,220,633,transcription termination factor NusB (nusB) {Escherichia coli},413,15180,.,-,.
.,forsyth,gene,HP0002,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",638,1105,riboflavin synthase beta chain (ribE) {Haemophilus influenzae},467,17160,.,-,.
.,forsyth,gene,HP0003,CELL ENVELOPE,1118,1945,3-deoxy-d-manno-octulosonic acid 8-phosphate synthetase (kdsA) {Chlamydia psittaci},827,30360,.,-,.
.,forsyth,gene,HP0004,CENTRAL INTERMEDIARY METABOLISM,1935,2597,carbonic anhydrase (icfA) {Synechococcus sp.},662,24310,.,-,.
.,forsyth,gene,HP0005,"PURINES, PYRIMIDINES, NUCLEOSIDES AND NUCLEOTIDES",2719,3399,orotidine 5'-phosphate decarboxylase (pyrF) {Bacillus subtilis},680,24970,.,+,.
.,forsyth,gene,HP0006,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",3403,4230,pantoate-beta-alanine ligase (panC) {Bacillus subtilis},827,30360,.,+,.
.,forsyth,gene,HP0007,HYPOTHETICAL PROTEIEN,4697,4765,hypothetical protein,68,2530,.,+,.
.,forsyth,gene,HP0008,HYPOTHETICAL PROTEIEN,4937,5017,hypothetical protein,80,2970,.,+,.
.,forsyth,gene,HP0009,CELL ENVELOPE,5244,7145,outer membrane protein (omp1),1901,69740,.,-,.
.,forsyth,gene,HP0010,CELLULAR PROCESSES,7606,9243,chaperone and heat shock protein (groEL) {Helicobacter pylori},1637,60060,.,-,.
.,forsyth,gene,HP0011,CELLULAR PROCESSES,9271,9624,co-chaperone (groES) {Helicobacter pylori},353,12980,.,-,.
.,forsyth,gene,HP0012,REPLICATION,9911,11587,DNA primase (dnaG) {Haemophilus influenzae},1676,61490,.,+,.
.,forsyth,gene,HP0013,HYPOTHETICAL PROTEIEN,11587,12636,hypothetical protein,1049,38500,.,+,.
.,forsyth,gene,HP0014,HYPOTHETICAL PROTEIEN,12728,13552,hypothetical protein,824,30250,.,+,.
.,forsyth,gene,HP0015,HYPOTHETICAL PROTEIEN,13702,13980,hypothetical protein,278,10230,.,+,.
.,forsyth,gene,HP0016,HYPOTHETICAL PROTEIEN,13983,14243,hypothetical protein,260,9570,.,+,.
.,forsyth,gene,HP0017,CELLULAR PROCESSES,14248,16608,virB4 homolog (virB4) {Agrobacterium radiobacter},2360,86570,.,+,.
.,forsyth,gene,HP0018,HYPOTHETICAL PROTEIEN,16863,18269,hypothetical protein,1406,51590,.,+,.
.,forsyth,gene,HP0019,CELLULAR PROCESSES,18380,19342,chemotaxis protein (cheV) {Bacillus subtilis},962,35310,.,+,.
.,forsyth,gene,HP0020,CENTRAL INTERMEDIARY METABOLISM,19342,20556,carboxynorspermidine decarboxylase (nspC) {Synechocystis sp.},1214,44550,.,+,.
.,forsyth,gene,HP0021,HYPOTHETICAL PROTEIEN,20572,21141,hypothetical protein,569,20900,.,-,.
.,forsyth,gene,HP0022,HYPOTHETICAL PROTEIEN,21155,22717,conserved hypothetical integral membrane protein {Salmonella choleraesuis},1562,57310,.,-,.
.,forsyth,gene,HP0023,HYPOTHETICAL PROTEIEN,22773,22889,hypothetical protein,116,4290,.,+,.
.,forsyth,gene,HP0024,HYPOTHETICAL PROTEIEN,22903,22992,hypothetical protein,89,3300,.,+,.
.,forsyth,gene,HP0025,CELL ENVELOPE,23327,25459,outer membrane protein (omp2),2132,78210,.,-,.
.,forsyth,gene,HP0026,ENERGY METABOLISM,26081,27358,citrate synthase (gltA) {Rickettsia prowazekii},1277,46860,.,-,.
.,forsyth,gene,HP0027,ENERGY METABOLISM,27557,28831,isocitrate dehydrogenase (icd) {Escherichia coli},1274,46750,.,+,.
.,forsyth,gene,HP0028,HYPOTHETICAL PROTEIEN,28901,29431,conserved hypothetical secreted protein {Haemophilus influenzae},530,19470,.,+,.
.,forsyth,gene,HP0029,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",29414,30067,dethiobiotin synthetase (bioD) {Methanococcus jannaschii},653,23980,.,-,.
.,forsyth,gene,HP0030,HYPOTHETICAL PROTEIEN,30074,31852,hypothetical protein,1778,65230,.,-,.
.,forsyth,gene,HP0031,HYPOTHETICAL PROTEIEN,31961,32371,hypothetical protein,410,15070,.,+,.
.,forsyth,gene,HP0032,HYPOTHETICAL PROTEIEN,32405,32677,conserved hypothetical protein {Escherichia coli},272,10010,.,+,.
.,forsyth,gene,HP0033,TRANSLATION,32680,34902,ATP-dependent C1p protease (clpA) {Escherichia coli},2222,81510,.,+,.
.,forsyth,gene,HP0034,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",34895,35245,aspartate 1-decarboxylase (panD) {Bacillus subtilis},350,12870,.,+,.
.,forsyth,gene,HP0035,HYPOTHETICAL PROTEIEN,35251,35541,conserved hypothetical protein {Escherichia coli},290,10670,.,+,.
.,forsyth,gene,HP0036,HYPOTHETICAL PROTEIEN,35544,36545,hypothetical protein,1001,36740,.,+,.
