gene,-Val,strand,1' pH7,1' pH5,16' pH5,16' pH7,TSS
HP0003,2131,-,3,3,1,2,2081
HP0004,2696,-,0,0,0,0,2646
HP0005,2622,+,1,1,1,1,2672
HP0009,7371,-,0,0,0,0,7321
HP0011,9733,-,0,0,0,0,9683
HP0012,9818,+,0,0,0,0,9868
HP0013,11355,+,0,0,0,0,11405
HP0014,12641,+,1,1,1,1,12691
HP0015,13616,+,1,1,1,1,13666
HP0018,16774,+,1,1,1,1,16824
HP0019,18299,+,0,0,0,0,18349
HP0022,22792,-,0,0,0,0,22742
HP0024,22806,+,0,0,0,0,22856
HP0025,25598,-,4,4,4,4,25548
HP0026,27439,-,0,0,0,0,27389
HP0027,27482,+,0,0,0,0,27532
HP0030,31974,-,0,0,0,0,31924
HP0031,31886,+,0,0,0,0,31936
HP0045,43134,+,2,2,2,2,43184
HP0049,49348,-,2,2,2,2,49298
HP0052,52380,-,0,0,0,0,52330
HP0056,61373,-,2,2,2,2,61323
HP0057,61491,+,1,1,1,1,61541
HP0058,61854,+,1,1,1,1,61904
HP0059,63079,+,0,0,0,0,63129
HP0071,75448,-,0,0,0,0,75398
HP0073,78062,-,0,0,0,0,78012
HP0075,80196,-,0,0,0,0,80146
HP0076,80112,+,0,0,0,0,80162
HP0080,84285,+,0,0,0,0,84335
HP0081,86309,+,0,0,0,0,86359
HP0082,88760,-,1,1,1,1,88710
HP0084,89717,-,0,0,0,0,89667
HP0086,91585,-,1,1,1,1,91535
HP0088,95090,-,0,0,0,0,95040
HP0090,96909,-,0,0,0,0,96859
HP0094,99916,-,0,0,0,0,99866
HP0095,100548,-,0,0,0,0,100498
HP0096,100462,+,2,2,2,2,100512
HP0097,102446,-,0,0,0,0,102396
HP0098,104003,-,1,1,1,1,103953
HP0099,104016,+,2,2,2,2,104066
HP0101,107402,+,2,2,2,2,107452
HP0103,110912,-,0,0,0,0,110862
HP0104,112751,-,2,2,2,2,112701
HP0105,113363,-,1,1,1,1,113313
HP0106,114706,-,4,4,4,4,114656
HP0107,115499,-,0,0,0,0,115449
HP0108,115454,+,0,0,0,0,115504
HP0111,119718,-,1,1,1,1,119668
HP0112,119996,+,2,2,2,2,120046
HP0113,120608,+,3,3,3,3,120658
HP0115,124567,-,0,0,0,0,124517
HP0116,124573,+,2,2,2,2,124623
HP0118,129191,-,0,0,0,0,129141
HP0119,130861,-,0,0,0,0,130811
HP0121,134879,-,2,2,2,2,134829
HP0122,134887,+,1,1,1,1,134937
HP0127,138316,+,0,0,0,0,138366
HP0129,139541,+,0,0,0,0,139591
HP0130,140252,+,0,0,0,0,140302
HP0132,143952,-,0,0,0,0,143902
HP0133,144917,-,0,0,0,0,144867
HP0135,146365,+,2,2,2,2,146415
HP0137,148409,-,2,2,2,2,148359
HP0139,150198,-,0,0,0,0,150148
HP0140,150265,+,0,0,0,0,150315
HP0141,151858,+,1,1,1,1,151908
HP0143,156279,-,0,0,0,0,156229
HP0144,156248,+,0,0,0,0,156298
HP0151,161152,+,0,0,0,0,161202
HP0152,162907,-,0,0,0,0,162857
HP0153,162855,+,0,0,0,0,162905
HP0159,168843,-,0,0,0,0,168793
HP0160,168768,+,0,0,0,0,168818
HP0163,172621,-,1,1,0,0,172571
HP0166,174570,-,0,0,0,0,174520
HP0170,177590,-,1,1,1,1,177540
HP0171,178731,-,0,0,0,0,178681
HP0174,181466,-,0,0,0,0,181416
HP0175,181777,+,4,4,4,4,181827
HP0176,182562,+,0,0,0,0,182612
HP0179,186949,-,2,2,2,2,186899
HP0180,187819,-,0,0,0,0,187769
HP0181,187806,+,0,0,0,0,187856
HP0188,194976,-,0,0,0,0,194926
HP0189,194978,+,0,0,0,0,195028
HP0193,200883,-,1,1,1,1,200833
HP0194,200910,+,0,0,0,0,200960
HP0197,203530,+,0,0,0,0,203580
HP0198,204774,+,0,0,0,0,204824
HP0201,205759,+,0,0,0,0,205809
HP0204,209325,-,0,0,0,0,209275
HP0206,212246,-,2,2,2,2,212196
HP0207,212196,+,2,2,2,2,212246
HP0209,214666,+,2,2,2,2,214716
HP0211,219098,-,0,0,0,0,219048
HP0213,222223,-,3,3,3,3,222173
HP0214,222145,+,3,3,3,3,222195
HP0215,223739,+,1,1,1,1,223789
HP0217,225759,+,0,0,0,0,225809
HP0218,227641,-,6,6,6,6,227591
HP0219,227654,+,0,0,0,0,227704
