Skip to main content,,,,,,,
An official website of the United States government,,,,,,,
Here's how you know,,,,,,,
View full-text article in PMC,,,,,,,
Infect Immun,,,,,,,
. 2021 Mar 17;89(4):e00597-20. doi: 10.1128/IAI.00597-20,,,,,,,
Copyright and License information,,,,,,,
TABLE 3.,,,,,,,
"pH-responsive genes regulated by the ArsRS systema,d",,,,,,,
,Fold change in the indicated strainsc,,,,,,Description
,26695,26695 ΔrdxA,26695 arsR-D52D,26695 ΔarsS,26695 arsR-D52E,26695 arsR-D52N,
Upregulated genesb,,,,,,,
HP0018,3.27,2.96,4.88,1.33,1.31,1.21,Hypothetical protein
HP0060,3.77,4.07,4.32,1.36,1.1,1.25,Hypothetical protein
HP0069*,2.76,3.04,3.44,1.36,1.31,1.38,Urease accessory protein (ureF)
HP0078*,3,5.61,4.68,0.63,1,0.83,Hypothetical protein
HP0079*,3.12,5.3,6.86,1.03,1.33,1.11,Outer membrane protein (horA)
HP0080,4.44,6.59,7.01,1.38,1.44,1.35,Hypothetical protein
HP0101,3.49,2.65,3.18,0.87,1.15,1.12,Hypothetical protein
HP0105,4.02,4.13,4.61,0.99,0.85,0.99,Hypothetical protein
HP0106,5.96,7.12,9.28,0.91,0.96,0.97,Cystathionine gamma-synthase (metB)
HP0107,2.66,4.27,3.47,1.1,1.05,1.02,Cysteine synthetase (cysK)
HP0117,3.87,3.24,4,1.01,1.15,1.12,Hypothetical protein
HP0118*,8.52,12.57,12.88,0.65,0.93,0.65,Hypothetical protein
HP0119,6.16,7.53,5.06,0.7,0.99,0.86,Hypothetical protein
HP0149,3,5.01,5.87,1,1.04,1.09,Hypothetical protein
HP0206,4.87,3.56,4.28,1.25,1.19,1.37,Hypothetical protein
HP0219,17.36,18.45,18.49,1.2,1.18,1.15,Hypothetical protein
HP0228*,5.65,5.97,8.02,1.62,1.55,1.4,Hypothetical integral membrane protein
HP0241,3.08,2.57,3.06,1.36,1.41,1.5,Hypothetical protein
HP0260,4.75,2.74,3.48,1.8,1.5,1.37,Adenine specific DNA methyltransferase (mod)
HP0261,5.14,2.81,3.99,1.9,1.63,1.71,Hypothetical protein
HP0285,3.58,4.39,3.4,1.29,1.21,1.21,Hypothetical protein
HP0286,3.35,3.98,3.45,1.53,1.32,1.35,Cell division protein (ftsH)
HP0287,2.96,2.7,2.97,1.44,1.17,1.21,Hypothetical protein
HP0294*,8.01,16.69,16.66,0.66,0.83,0.62,Aliphatic amidase (amiE)
HP0304,4.92,4.5,5.15,0.85,0.8,0.87,Hypothetical protein
HP0307*,2.53,2.88,3.18,1.08,1.12,1.22,Hypothetical protein
HP0312,3.04,3.58,2.74,1.45,1.11,1.35,Hypothetical ATP-binding protein
HP0313,3.27,3.88,4.05,1.15,0.95,0.96,Nitrite extrusion protein (narK)
HP0345,17.33,8.8,6.37,1.38,1.25,0.99,Hypothetical protein
