seqname,source,feature,HP_number,start,end,Putative_Id,Orf_Size,Prot_Size(est),score,strand,frame,attribute
.,forsyth,gene,HP0001,220,633,transcription termination factor NusB (nusB) {Escherichia coli},413,15180,.,-,.,gene=HP0001;Putative_Id=transcription termination factor NusB (nusB) {Escherichia coli};Orf_Size=413;Prot_Size(est)=15180.0
.,forsyth,gene,HP0002,638,1105,riboflavin synthase beta chain (ribE) {Haemophilus influenzae},467,17160,.,-,.,gene=HP0002;Putative_Id=riboflavin synthase beta chain (ribE) {Haemophilus influenzae};Orf_Size=467;Prot_Size(est)=17160.0
.,forsyth,gene,HP0003,1118,1945,3-deoxy-d-manno-octulosonic acid 8-phosphate synthetase (kdsA) {Chlamydia psittaci},827,30360,.,-,.,gene=HP0003;Putative_Id=3-deoxy-d-manno-octulosonic acid 8-phosphate synthetase (kdsA) {Chlamydia psittaci};Orf_Size=827;Prot_Size(est)=30360.0
.,forsyth,gene,HP0004,1935,2597,carbonic anhydrase (icfA) {Synechococcus sp.},662,24310,.,-,.,gene=HP0004;Putative_Id=carbonic anhydrase (icfA) {Synechococcus sp.};Orf_Size=662;Prot_Size(est)=24310.0
.,forsyth,gene,HP0005,2719,3399,orotidine 5'-phosphate decarboxylase (pyrF) {Bacillus subtilis},680,24970,.,+,.,gene=HP0005;Putative_Id=orotidine 5'-phosphate decarboxylase (pyrF) {Bacillus subtilis};Orf_Size=680;Prot_Size(est)=24970.0
.,forsyth,gene,HP0006,3403,4230,pantoate-beta-alanine ligase (panC) {Bacillus subtilis},827,30360,.,+,.,gene=HP0006;Putative_Id=pantoate-beta-alanine ligase (panC) {Bacillus subtilis};Orf_Size=827;Prot_Size(est)=30360.0
.,forsyth,gene,HP0007,4697,4765,hypothetical protein,68,2530,.,+,.,gene=HP0007;Putative_Id=hypothetical protein;Orf_Size=68;Prot_Size(est)=2530.0
.,forsyth,gene,HP0008,4937,5017,hypothetical protein,80,2970,.,+,.,gene=HP0008;Putative_Id=hypothetical protein;Orf_Size=80;Prot_Size(est)=2970.0
.,forsyth,gene,HP0009,5244,7145,outer membrane protein (omp1),1901,69740,.,-,.,gene=HP0009;Putative_Id=outer membrane protein (omp1);Orf_Size=1901;Prot_Size(est)=69740.0
.,forsyth,gene,HP0010,7606,9243,chaperone and heat shock protein (groEL) {Helicobacter pylori},1637,60060,.,-,.,gene=HP0010;Putative_Id=chaperone and heat shock protein (groEL) {Helicobacter pylori};Orf_Size=1637;Prot_Size(est)=60060.0
.,forsyth,gene,HP0011,9271,9624,co-chaperone (groES) {Helicobacter pylori},353,12980,.,-,.,gene=HP0011;Putative_Id=co-chaperone (groES) {Helicobacter pylori};Orf_Size=353;Prot_Size(est)=12980.0
.,forsyth,gene,HP0012,9911,11587,DNA primase (dnaG) {Haemophilus influenzae},1676,61490,.,+,.,gene=HP0012;Putative_Id=DNA primase (dnaG) {Haemophilus influenzae};Orf_Size=1676;Prot_Size(est)=61490.0
.,forsyth,gene,HP0013,11587,12636,hypothetical protein,1049,38500,.,+,.,gene=HP0013;Putative_Id=hypothetical protein;Orf_Size=1049;Prot_Size(est)=38500.0
.,forsyth,gene,HP0014,12728,13552,hypothetical protein,824,30250,.,+,.,gene=HP0014;Putative_Id=hypothetical protein;Orf_Size=824;Prot_Size(est)=30250.0
.,forsyth,gene,HP0015,13702,13980,hypothetical protein,278,10230,.,+,.,gene=HP0015;Putative_Id=hypothetical protein;Orf_Size=278;Prot_Size(est)=10230.0
.,forsyth,gene,HP0016,13983,14243,hypothetical protein,260,9570,.,+,.,gene=HP0016;Putative_Id=hypothetical protein;Orf_Size=260;Prot_Size(est)=9570.0
.,forsyth,gene,HP0017,14248,16608,virB4 homolog (virB4) {Agrobacterium radiobacter},2360,86570,.,+,.,gene=HP0017;Putative_Id=virB4 homolog (virB4) {Agrobacterium radiobacter};Orf_Size=2360;Prot_Size(est)=86570.0
.,forsyth,gene,HP0018,16863,18269,hypothetical protein,1406,51590,.,+,.,gene=HP0018;Putative_Id=hypothetical protein;Orf_Size=1406;Prot_Size(est)=51590.0
